player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
9oC3qxWkzn,kosuke,D,-3.04,20,83,1,13.25,11,83,7.23,6,83,5.0,1,20,0.0,0,0,0.0,0,2,42.86,3,7,66.67,2,3
d5d4a338-46c8-42b3-8d59-fe0d92d657bc,Key,D,-172.71,20,78,1,37.18,29,78,26.92,21,78,21.43,6,28,20.0,1,5,50.0,5,10,35.0,7,20,42.86,3,7
e5011537-146b-4b70-bcb7-46ffeeb508ba,Lo,D,-146.77,20,75,1,20.0,15,75,16.0,12,75,11.11,3,27,66.67,2,3,40.0,2,5,22.22,2,9,0.0,0,2
b7aba243-51f8-4ae4-88e2-b16bdbe6062c,ko,D,-113.32,20,75,1,17.33,13,75,16.0,12,75,10.0,2,20,100.0,3,3,40.0,2,5,50.0,3,6,33.33,1,3
d66c5044-b7df-48b3-9549-da3ded3c2b91,kzh,D,+12.71,20,72,1,27.78,20,72,22.22,16,72,11.11,3,27,0.0,0,0,81.82,9,11,7.69,1,13,0.0,0,1
02c8f131-97fb-4490-8e42-a8187a60a294,Maru,D,+33.53,20,71,1,22.54,16,71,21.13,15,71,15.38,4,26,100.0,6,6,60.0,3,5,33.33,2,6,50.0,1,2
t7MdS6sSCT,satoru,C,-15.31,20,64,1,29.69,19,64,20.31,13,64,18.75,3,16,0.0,0,2,66.67,4,6,28.57,4,14,50.0,2,4
8efff5dc-2e02-4106-815b-a693259b4262,sei,D,-33.62,20,56,1,26.79,15,56,19.64,11,56,4.76,1,21,0.0,0,3,0.0,0,2,55.56,5,9,20.0,1,5
9FY377ItlI,あこ,D,+9.27,20,49,1,16.33,8,49,8.16,4,49,0.0,0,22,100.0,2,2,100.0,2,2,33.33,2,6,50.0,1,2
s_7Utr4tDi,それいゆ るな,C,+9.6,20,47,1,36.17,17,47,19.15,9,47,9.09,1,11,100.0,1,1,0.0,0,3,20.0,2,10,50.0,1,2
0b6406d2-c007-4718-99c4-f404d7029710,にるも,D,-180.98,20,43,1,65.12,28,43,20.93,9,43,5.88,1,17,0.0,0,1,100.0,2,2,30.43,7,23,14.29,1,7
95a4cb75-8304-4d03-80fd-c5b73e9ed7a1,ティエン,D,+26.91,20,34,1,20.59,7,34,20.59,7,34,10.0,1,10,0.0,0,3,50.0,1,2,40.0,2,5,50.0,1,2
XaClitYV1x,らねおか,C,+18.77,20,21,1,19.05,4,21,19.05,4,21,0.0,0,2,0.0,0,0,50.0,1,2,100.0,2,2,100.0,2,2
605b96e3-56ed-49d6-aef9-361b116cb682,レモン,C,-18.23,20,14,1,35.71,5,14,21.43,3,14,0.0,0,6,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0
0ecf4d5e-772d-412e-9e58-76ed5462d677,r1nne,D,-6.09,20,13,1,15.38,2,13,0.0,0,13,0.0,0,7,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0
EN9N_Z9A78,ぼくだよ,C,-20.09,20,12,1,41.67,5,12,33.33,4,12,25.0,1,4,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0
O1ujh7Dkxd,shunta,C,-5,20,7,1,14.29,1,7,0.0,0,7,0.0,0,5,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0
